Feedback_ID,Feedback_Text,Sentiment,Category,Internship_Duration_Months,Department,Overall_Rating,Would_Recommend
INT0041,"Overall, the workload was manageable, which let me actually focus on doing good work instead of rushing. Meanwhile, the exposure to real datasets taught me more about data cleaning than any course did. That's just my honest take.",Positive,Workload,3,Finance,4,Yes
INT0042,"For the most part, I got a general sense of the industry, though not much specific career guidance. Also, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. Others might have had a different experience though.",Neutral,Career Development,6,Data Science,3,Maybe
INT0043,"In my experience, the workload picked up so much toward the end that I had to work late several nights.",Negative,Workload,2,Machine Learning,1,No
INT0044,"Honestly, I appreciated that training wasn't rushed, we actually had time to practice before doing real work. The training materials were well organized and easy to follow even for a beginner. That said, everyone's experience can vary.",Positive,Training,1,Web Development,4,Yes
INT0045,I left without much clarity on what skills I should focus on for my career. Nobody really discussed growth opportunities or what a future role here might look like.,Negative,Career Development,6,Data Science,1,No
INT0046,"Honestly, there was almost no formal training, I was expected to already know things I'd never used. I wanted to share this feedback for future improvement.",Negative,Training,5,Artificial Intelligence,2,No
INT0047,"I never felt overwhelmed, and when things did get busy, my manager adjusted deadlines accordingly. Additionally, the assignments were challenging without being overwhelming, which kept me engaged. That's just my honest take.",Positive,Workload,2,Business Development,4,Yes
INT0048,"Honestly, overall this internship exceeded what I expected going in and I'd recommend it to a friend. Looking back, I'm glad I chose this internship over the other offers I had.",Positive,Overall Experience,6,Human Resources,5,Yes
INT0049,"To be fair, my mentor always made time to answer questions, even when things got busy.",Positive,Mentorship,5,Marketing,5,Yes
INT0050,"All things considered, the setup was fine, standard desks and standard hours, nothing remarkable either way.",Neutral,Work Environment,6,Marketing,3,Yes
INT0051,"From my perspective, there was almost no mentorship structure, so I often felt left to guess what was expected.",Negative,Mentorship,3,Machine Learning,1,No
INT0052,"Overall, the training covered the basics adequately, though it felt a bit generic. Others might have had a different experience though.",Neutral,Training,2,Finance,2,Maybe
INT0053,"Looking back, I picked up skills here that I doubt I would have learned this fast in a classroom. On top of that, the exposure to real industry work will definitely help me stand out when I apply for jobs. Others might have had a different experience though.",Positive,Learning,5,Human Resources,4,Yes
INT0054,"All things considered, there was a lot of pressure in the air that made the environment feel stressful most days.",Negative,Work Environment,1,Marketing,2,No
INT0055,"So far, tasks were varied enough that I never felt bored during the day and the projects I worked on felt meaningful, not just busywork to fill the days. That said, the overall environment felt professional but not stiff, which suited me well. Hopefully this helps improve the program.",Positive,Tasks,1,Marketing,4,Yes
INT0056,"So far, the training materials were outdated and didn't match the tools we actually used day to day. Additionally, my assigned mentor was too busy with their own work to actually guide me.",Negative,Training,4,Business Development,2,No
INT0057,"If I'm being honest, looking back, I'm glad I chose this internship over the other offers I had and overall this internship exceeded what I expected going in and I'd recommend it to a friend. Meanwhile, our stand-up meetings were short but genuinely useful for staying aligned with the team.",Positive,Overall Experience,5,Marketing,5,Yes
INT0058,"Honestly, I expected to pick up new technical skills, but the tasks never really required them. The internship offered very little in terms of skill development, mostly just data entry-type work. That said, everyone's experience can vary.",Negative,Learning,2,Human Resources,3,Maybe
INT0059,"So far, the team culture was relaxed but still focused, which made coming to work genuinely enjoyable. I felt comfortable asking silly questions because nobody made me feel judged for it. Meanwhile, looking back, I'm glad I chose this internship over the other offers I had. Just my two cents.",Positive,Team Environment,3,Human Resources,5,Maybe
INT0060,"My overall take is mixed, there were things I liked and things that could be better. That said, everyone's experience can vary.",Neutral,Overall Experience,4,Web Development,4,Maybe
INT0061,"Looking back, overall this internship exceeded what I expected going in and I'd recommend it to a friend. Looking back, I'm glad I chose this internship over the other offers I had. Hopefully this helps improve the program.",Positive,Overall Experience,5,Marketing,4,Yes
INT0062,"During my time here, the lack of guidance meant I spent a lot of time unsure whether my work was even useful. I rarely got any real feedback from my supervisor beyond a quick 'looks good'. That said, the office felt disorganized, with unclear seating and outdated equipment for interns. I wanted to share this feedback for future improvement.",Negative,Mentorship,5,Finance,3,No
INT0063,"By the end of the internship, I got occasional guidance from senior staff, though it wasn't consistent week to week. I was assigned a mentor but our interactions were mostly limited to quick status updates. Meanwhile, coworkers were nice enough, though most interactions stayed strictly work related. Others might have had a different experience though.",Neutral,Mentorship,4,Business Development,3,Maybe
INT0064,"To be fair, I felt constantly behind because new tasks kept piling up before I finished the last ones and I was often given more tasks than I could realistically finish within normal hours. Hopefully this helps improve the program.",Negative,Workload,3,Web Development,2,No
INT0065,"If I'm being honest, the exposure to real industry work will definitely help me stand out when I apply for jobs. That said, there were busy weeks, but overall the workload felt fair given my experience level.",Positive,Career Development,3,Artificial Intelligence,4,Yes
INT0066,"To be fair, the training was standard, nothing outstanding but nothing missing either. Additionally, the setup was fine, standard desks and standard hours, nothing remarkable either way.",Neutral,Training,1,Software Development,3,Maybe
INT0067,"Honestly, the setup was fine, standard desks and standard hours, nothing remarkable either way. Also, the team communicated fine for day-to-day tasks but bigger updates sometimes came late.",Neutral,Work Environment,5,Machine Learning,3,No
INT0068,"In my experience, nobody really discussed growth opportunities or what a future role here might look like. Also, I was often given more tasks than I could realistically finish within normal hours. Hopefully this helps improve the program.",Negative,Career Development,6,Artificial Intelligence,3,Maybe
INT0069,"Looking back, the exposure to real datasets taught me more about data cleaning than any course did. That's just my honest take.",Positive,Learning,1,Artificial Intelligence,4,Yes
INT0070,"All things considered, onboarding was okay, some sessions were useful and others felt like they could've been an email.",Neutral,Training,5,Finance,3,No
INT0071,"Looking back, I sat through hours of generic training videos that had nothing to do with my actual role.",Negative,Training,6,Human Resources,2,No
INT0072,"For the most part, the assignments were straightforward and predictable for the most part.",Neutral,Tasks,4,Data Science,2,Yes
INT0073,"So far, the training covered the basics adequately, though it felt a bit generic. Additionally, I worked on a reasonable variety of tasks, though none of them felt particularly high-impact. That said, everyone's experience can vary.",Neutral,Training,6,Artificial Intelligence,3,Maybe
INT0074,"Looking back, the projects I worked on felt meaningful, not just busywork to fill the days. I wanted to share this feedback for future improvement.",Positive,Tasks,6,Business Development,5,Maybe
INT0075,"So far, I was often given more tasks than I could realistically finish within normal hours. Deadlines were frequently unrealistic given how much other work was already on my plate. Others might have had a different experience though.",Negative,Workload,2,Machine Learning,2,No
INT0076,"All things considered, I'd call this internship a genuinely valuable experience that shaped how I think about work. Hopefully this helps improve the program.",Positive,Overall Experience,6,Software Development,5,Yes
INT0077,"If I'm being honest, looking back, I'm glad I chose this internship over the other offers I had.",Positive,Overall Experience,5,Data Science,3,Yes
INT0078,"Looking back, the setup was fine, standard desks and standard hours, nothing remarkable either way. Others might have had a different experience though.",Neutral,Work Environment,5,Finance,2,Yes
INT0079,"From my perspective, overall this internship fell short of what I was expecting when I accepted the offer.",Negative,Overall Experience,4,Machine Learning,2,No
INT0080,"By the end of the internship, some weeks I got great input from my supervisor, other weeks I barely heard from them. Mentorship existed on paper but in practice it depended a lot on how busy people were. That's just my honest take.",Neutral,Mentorship,6,Software Development,3,Yes
INT0081,"The training covered the basics adequately, though it felt a bit generic and the training was standard, nothing outstanding but nothing missing either. Just my two cents.",Neutral,Training,4,Machine Learning,3,Maybe
INT0082,"By the end of the internship, I felt comfortable asking silly questions because nobody made me feel judged for it. I wanted to share this feedback for future improvement.",Positive,Team Environment,1,Business Development,4,Maybe
INT0083,"Honestly, getting a straight answer to a simple question could take days, which slowed everything down.",Negative,Communication,1,Artificial Intelligence,3,No
INT0084,"In my experience, resources like laptops and software licenses took weeks to sort out, which was frustrating.",Negative,Work Environment,4,Human Resources,1,Maybe
INT0085,The team communicated fine for day-to-day tasks but bigger updates sometimes came late.,Neutral,Communication,2,Data Science,2,Yes
INT0086,"During my time here, I finished the internship feeling like I didn't get much value out of the time I put in and overall this internship fell short of what I was expecting when I accepted the offer. Meanwhile, my assigned mentor was too busy with their own work to actually guide me.",Negative,Overall Experience,3,Software Development,2,No
INT0087,"Throughout the program, the training materials were outdated and didn't match the tools we actually used day to day and the onboarding was so rushed that I still had questions about basic tools weeks later. On top of that, I came in hoping to learn a specific tool, but never actually got the chance to use it. That's just my honest take.",Negative,Training,5,Machine Learning,2,No
INT0088,"By the end of the internship, seeing how the full-time employees approached their work helped me set realistic career goals. Hopefully this helps improve the program.",Positive,Career Development,3,Marketing,4,Yes
INT0089,"So far, there were learning opportunities here and there, but nothing that felt especially deep. I learned a few new things, but a lot of it was stuff I already knew from school.",Neutral,Learning,1,Business Development,3,Maybe
INT0090,"If I'm being honest, nothing stood out about the environment, it was just a typical corporate setup. That said, the tasks were fine, a mix of interesting bits and some routine administrative work.",Neutral,Work Environment,5,Software Development,2,Maybe
INT0091,"So far, overall this internship fell short of what I was expecting when I accepted the offer and I finished the internship feeling like I didn't get much value out of the time I put in. Additionally, the work environment was ordinary, similar to what I expected from an office internship.",Negative,Overall Experience,2,Data Science,2,No
INT0092,"In my experience, the tasks assigned to me didn't match the job description at all and I was rarely given tasks that felt connected to any bigger project or goal. Hopefully this helps improve the program.",Negative,Tasks,3,Marketing,2,No
INT0093,"All things considered, the pace was reasonable and left room for me to ask questions without falling behind. Just my two cents.",Positive,Workload,1,Finance,5,Yes
INT0094,"In my experience, I worked on a reasonable variety of tasks, though none of them felt particularly high-impact.",Neutral,Tasks,1,Web Development,3,Maybe
INT0095,"For the most part, the team was polite but mostly kept to themselves, so bonding took a while. That said, some days had engaging projects, others were mostly just formatting spreadsheets. That's just my honest take.",Neutral,Team Environment,4,Finance,3,Maybe
INT0096,"All things considered, the training covered the basics adequately, though it felt a bit generic.",Neutral,Training,5,Artificial Intelligence,3,No
INT0097,"In my experience, the team was upfront about expectations from day one, which made planning my work much easier. Feedback on my work came promptly and was specific enough to actually act on.",Positive,Communication,1,Software Development,5,Yes
INT0098,"My overall take is mixed, there were things I liked and things that could be better. It was a fairly average internship, neither a highlight nor a disappointment.",Neutral,Overall Experience,4,Artificial Intelligence,2,Maybe
INT0099,"Throughout the program, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate.",Positive,Work Environment,1,Data Science,5,Yes
INT0100,"In my experience, it was a fairly average internship, neither a highlight nor a disappointment and my overall take is mixed, there were things I liked and things that could be better. That said, coworkers were nice enough, though most interactions stayed strictly work related.",Neutral,Overall Experience,1,Artificial Intelligence,2,Maybe
INT0101,"Looking back, the office felt disorganized, with unclear seating and outdated equipment for interns.",Negative,Work Environment,4,Marketing,2,Maybe
INT0102,"The team was upfront about expectations from day one, which made planning my work much easier. Updates about project changes always reached me quickly, so I rarely felt out of the loop. Additionally, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate.",Positive,Communication,3,Artificial Intelligence,5,Yes
INT0103,"For the most part, the team culture was relaxed but still focused, which made coming to work genuinely enjoyable. Meanwhile, I appreciated that my work actually got used by the team instead of sitting in a drawer. I wanted to share this feedback for future improvement.",Positive,Team Environment,6,Machine Learning,5,Yes
INT0104,"By the end of the internship, communication between departments was so poor that tasks sometimes contradicted each other and there was a real disconnect between what one manager said and what another expected. Additionally, I got a general sense of the industry, though not much specific career guidance. Others might have had a different experience though.",Negative,Communication,3,Finance,2,No
INT0105,"By the end of the internship, I often felt like an outsider since most conversations happened without including interns.",Negative,Team Environment,5,Web Development,2,No
INT0106,"Honestly, updates about project changes always reached me quickly, so I rarely felt out of the loop. I wanted to share this feedback for future improvement.",Positive,Communication,3,Human Resources,4,Yes
INT0107,"Overall, the pace was reasonable and left room for me to ask questions without falling behind.",Positive,Workload,1,Machine Learning,4,Yes
INT0108,"The office had a comfortable, low-pressure atmosphere that made it easy to concentrate. That said, I appreciated that training wasn't rushed, we actually had time to practice before doing real work. That's just my honest take.",Positive,Work Environment,4,Marketing,5,Yes
INT0109,"By the end of the internship, the setup was fine, standard desks and standard hours, nothing remarkable either way.",Neutral,Work Environment,2,Web Development,3,Maybe
INT0110,"To be fair, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. Additionally, the training covered the basics adequately, though it felt a bit generic.",Neutral,Communication,6,Finance,3,Yes
INT0111,"For the most part, there was a real disconnect between what one manager said and what another expected. That said, nobody really discussed growth opportunities or what a future role here might look like. Just my two cents.",Negative,Communication,3,Marketing,2,No
INT0112,"For the most part, looking back, I wouldn't say this was a particularly rewarding experience. That said, I was rarely given tasks that felt connected to any bigger project or goal. That's just my honest take.",Negative,Overall Experience,6,Finance,3,No
INT0113,"By the end of the internship, onboarding was okay, some sessions were useful and others felt like they could've been an email. Others might have had a different experience though.",Neutral,Training,1,Software Development,3,Maybe
INT0114,"During my time here, the overall environment felt professional but not stiff, which suited me well. Just my two cents.",Positive,Work Environment,3,Data Science,5,Yes
INT0115,"In my experience, I barely got to interact with the wider team beyond my direct supervisor. The team felt fragmented, with different people rarely talking to each other. That's just my honest take.",Negative,Team Environment,6,Marketing,2,Maybe
INT0116,"Throughout the program, my overall take is mixed, there were things I liked and things that could be better. Hopefully this helps improve the program.",Neutral,Overall Experience,1,Human Resources,3,No
INT0117,"If I'm being honest, overall this internship exceeded what I expected going in and I'd recommend it to a friend. Looking back, I'm glad I chose this internship over the other offers I had.",Positive,Overall Experience,1,Marketing,5,Yes
INT0118,"In my experience, the team felt fragmented, with different people rarely talking to each other. Meanwhile, the tasks assigned to me didn't match the job description at all. Just my two cents.",Negative,Team Environment,3,Marketing,2,No
INT0119,"All things considered, nothing stood out about the environment, it was just a typical corporate setup.",Neutral,Work Environment,3,Marketing,4,Yes
INT0120,"Overall, I expected to pick up new technical skills, but the tasks never really required them. That said, deadlines were frequently unrealistic given how much other work was already on my plate. Just my two cents.",Negative,Learning,6,Finance,1,Maybe
INT0121,"Looking back, our stand-up meetings were short but genuinely useful for staying aligned with the team.",Positive,Communication,5,Machine Learning,5,Yes
INT0122,"Looking back, the team was polite but mostly kept to themselves, so bonding took a while.",Neutral,Team Environment,6,Marketing,3,Maybe
INT0123,"The assignments were challenging without being overwhelming, which kept me engaged.",Positive,Tasks,2,Web Development,5,Maybe
INT0124,"All things considered, the team was upfront about expectations from day one, which made planning my work much easier. I never had to chase people for information, everything was communicated clearly upfront. Additionally, the team was polite but mostly kept to themselves, so bonding took a while. Hopefully this helps improve the program.",Positive,Communication,3,Marketing,5,Yes
INT0125,"So far, onboarding was okay, some sessions were useful and others felt like they could've been an email. That said, everyone's experience can vary.",Neutral,Training,5,Data Science,3,Maybe
INT0126,"Honestly, the projects I worked on felt meaningful, not just busywork to fill the days. Meanwhile, the exposure to real datasets taught me more about data cleaning than any course did. That said, everyone's experience can vary.",Positive,Tasks,4,Marketing,4,Yes
INT0127,"Being thrown into real projects forced me to learn tools I'd only read about before. The exposure to real datasets taught me more about data cleaning than any course did. Meanwhile, I appreciated that my work actually got used by the team instead of sitting in a drawer. Others might have had a different experience though.",Positive,Learning,4,Machine Learning,4,Yes
INT0128,"All things considered, resources like laptops and software licenses took weeks to sort out, which was frustrating. There was a lot of pressure in the air that made the environment feel stressful most days. I wanted to share this feedback for future improvement.",Negative,Work Environment,4,Finance,1,No
INT0129,"All things considered, most of my days were spent on repetitive data entry that didn't require much thought. Meanwhile, looking back, I wouldn't say this was a particularly rewarding experience. Hopefully this helps improve the program.",Negative,Tasks,5,Data Science,2,Maybe
INT0130,"Resources like laptops and software licenses took weeks to sort out, which was frustrating. Just my two cents.",Negative,Work Environment,5,Software Development,3,Maybe
INT0131,"If I'm being honest, most of my days were spent on repetitive data entry that didn't require much thought.",Negative,Tasks,4,Data Science,2,Maybe
INT0132,"If I'm being honest, I'd call this internship a genuinely valuable experience that shaped how I think about work and looking back, I'm glad I chose this internship over the other offers I had. Also, being thrown into real projects forced me to learn tools I'd only read about before. Hopefully this helps improve the program.",Positive,Overall Experience,5,Machine Learning,4,Yes
INT0133,"Overall, deadlines were frequently unrealistic given how much other work was already on my plate. I felt constantly behind because new tasks kept piling up before I finished the last ones.",Negative,Workload,4,Artificial Intelligence,3,No
INT0134,"Honestly, being thrown into real projects forced me to learn tools I'd only read about before. Getting to see how decisions are made in real projects taught me more than any lecture. That said, I felt comfortable asking silly questions because nobody made me feel judged for it. That said, everyone's experience can vary.",Positive,Learning,6,Marketing,4,Yes
INT0135,"If I'm being honest, getting a straight answer to a simple question could take days, which slowed everything down. Just my two cents.",Negative,Communication,4,Human Resources,2,No
INT0136,"By the end of the internship, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. Information usually reached me eventually, just not always as fast as I would have liked.",Neutral,Communication,2,Finance,3,No
INT0137,"All things considered, the training was standard, nothing outstanding but nothing missing either. The training covered the basics adequately, though it felt a bit generic. Others might have had a different experience though.",Neutral,Training,1,Artificial Intelligence,2,Maybe
INT0138,"Looking back, I got a general sense of the industry, though not much specific career guidance. Just my two cents.",Neutral,Career Development,4,Artificial Intelligence,4,Maybe
INT0139,"To be fair, I expected to pick up new technical skills, but the tasks never really required them. Most of what I did was so repetitive that there wasn't much room to actually learn anything new.",Negative,Learning,3,Data Science,1,No
INT0140,"In my experience, there were learning opportunities here and there, but nothing that felt especially deep. I wanted to share this feedback for future improvement.",Neutral,Learning,6,Data Science,3,Yes
INT0141,"From my perspective, there was no real effort to help interns think about next steps or career planning.",Negative,Career Development,1,Human Resources,2,No
INT0142,"For the most part, I often felt like an outsider since most conversations happened without including interns. I barely got to interact with the wider team beyond my direct supervisor. Also, I got a general sense of the industry, though not much specific career guidance. Others might have had a different experience though.",Negative,Team Environment,2,Marketing,2,No
INT0143,"The learning curve was gentle, maybe too gentle for someone who wanted more of a challenge. I learned a few new things, but a lot of it was stuff I already knew from school. That said, everyone's experience can vary.",Neutral,Learning,4,Human Resources,3,Maybe
INT0144,"During my time here, I learned to use version control properly for the first time, and it's already paying off.",Positive,Learning,1,Machine Learning,5,Yes
INT0145,"So far, I felt comfortable asking silly questions because nobody made me feel judged for it. On top of that, I learned a few new things, but a lot of it was stuff I already knew from school.",Positive,Team Environment,6,Web Development,4,Yes
INT0146,"In my experience, the assignments were straightforward and predictable for the most part and some days had engaging projects, others were mostly just formatting spreadsheets. Just my two cents.",Neutral,Tasks,2,Finance,3,Yes
INT0147,"My mentor pushed me to think through problems myself instead of just giving answers. That said, I got genuinely useful advice on my resume and how to prepare for future interviews.",Positive,Mentorship,5,Data Science,3,Yes
INT0148,"Throughout the program, having someone senior review my work and explain their thinking made a huge difference. I wanted to share this feedback for future improvement.",Positive,Mentorship,6,Marketing,3,Yes
INT0149,"For the most part, I'd call this internship a genuinely valuable experience that shaped how I think about work. On top of that, updates about project changes always reached me quickly, so I rarely felt out of the loop. I wanted to share this feedback for future improvement.",Positive,Overall Experience,5,Data Science,4,Yes
INT0150,"I was rarely given tasks that felt connected to any bigger project or goal. Meanwhile, career advice came up occasionally in conversations but wasn't a structured part of the program. That's just my honest take.",Negative,Tasks,6,Machine Learning,1,No
INT0151,"To be fair, the one-on-one sessions with my mentor were probably the most valuable part of the internship.",Positive,Mentorship,3,Machine Learning,5,Maybe
INT0152,"To be fair, our stand-up meetings were short but genuinely useful for staying aligned with the team. Hopefully this helps improve the program.",Positive,Communication,1,Web Development,5,Yes
INT0153,The team communicated fine for day-to-day tasks but bigger updates sometimes came late. Just my two cents.,Neutral,Communication,5,Machine Learning,3,Maybe
INT0154,"Communication was decent overall, though sometimes emails took a day or two to get answered. We had regular meetings, but a lot of the important details still got lost between teams.",Neutral,Communication,1,Software Development,2,Maybe
INT0155,"Throughout the program, I picked up skills here that I doubt I would have learned this fast in a classroom.",Positive,Learning,3,Software Development,4,Yes
INT0156,"By the end of the internship, the pace was reasonable and left room for me to ask questions without falling behind. Also, I was assigned a mentor but our interactions were mostly limited to quick status updates.",Positive,Workload,4,Web Development,5,Yes
INT0157,"So far, I frequently had no idea what was happening with the project until it was almost too late. Instructions for tasks were often vague, so I ended up redoing work more than once. That said, everyone's experience can vary.",Negative,Communication,6,Software Development,2,No
INT0158,"In my experience, career advice came up occasionally in conversations but wasn't a structured part of the program.",Neutral,Career Development,1,Marketing,2,Maybe
INT0159,"By the end of the internship, my mentor was available when needed but we didn't have a very structured relationship. That's just my honest take.",Neutral,Mentorship,1,Software Development,3,Yes
INT0160,There was no real effort to help interns think about next steps or career planning.,Negative,Career Development,2,Business Development,1,No
INT0161,"By the end of the internship, there was no real effort to help interns think about next steps or career planning. Nobody really discussed growth opportunities or what a future role here might look like.",Negative,Career Development,1,Marketing,2,Maybe
INT0162,"By the end of the internship, deadlines were frequently unrealistic given how much other work was already on my plate. Others might have had a different experience though.",Negative,Workload,3,Finance,1,Maybe
INT0163,"Throughout the program, the assignments were challenging without being overwhelming, which kept me engaged. Additionally, the team communicated fine for day-to-day tasks but bigger updates sometimes came late.",Positive,Tasks,5,Human Resources,5,Yes
INT0164,Deadlines were frequently unrealistic given how much other work was already on my plate.,Negative,Workload,6,Web Development,2,No
INT0165,"Mentorship existed on paper but in practice it depended a lot on how busy people were. Meanwhile, it was manageable most of the time, though a couple of deadlines felt a bit tight. That's just my honest take.",Neutral,Mentorship,3,Machine Learning,2,Maybe
